Date,Adj Close,Open,High,Low,Last,Close,Average Price,Volume,Turnover,No. of Trades
2017-05-31,996.2,993.55,993.55,974.85,976.05,977.05,980.19,3881950,3805051203,121323
2017-06-01,977.05,969.3,979.7,958.55,971.25,971.4,969.49,2754303,2670262585,81421
2017-06-02,971.4,973.4,975.45,964.2,966,969.45,968.76,1958983,1897792689,48927
2017-06-05,969.45,970,972,957.05,959,958.75,961.71,2731349,2626761463,83794
2017-06-06,958.75,965,987.5,964.4,980,979.35,980.08,3504343,3434525874,83178
2017-06-07,979.35,985,988.9,945,959.3,961.3,963.75,6227523,6001805446,139990
2017-06-08,961.3,962.95,962.95,948.15,956.05,956.45,952.81,3097676,2951501577,88147
2017-06-09,956.45,938.55,950.95,923,949,948.6,937.55,7378831,6918028230,161124
2017-06-12,948.6,943.35,965.2,940.1,964.4,963.85,953.95,4295838,4097996731,89686
2017-06-13,963.85,953.5,962.95,951.6,957.95,957.8,958.26,2468897,2365833764,69355
2017-06-14,957.8,960,961.9,951.2,958.5,958.6,957.02,3719055,3559194777,90312
2017-06-15,958.6,959.65,967.95,949.6,951.35,952.1,956.12,2764031,2642752622,67490
2017-06-16,952.1,949.1,953.85,936,937,940.25,942.47,5474225,5159269025,109487
2017-06-19,940.25,939.95,940.25,928,930.8,929.85,931.98,3427930,3194759665,82075
2017-06-20,929.85,935,946.9,934.05,944.25,943.55,943.01,2592198,2444471885,105790
